INFO:root:episode:1450 e_greed:0.18810399999998811 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [2, 5], [3, 3], [2, 7], [0, 4]]
INFO:root:episode:1500 e_greed:0.18770399999998771 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [0, 2], [3, 3], [0, 4], [2, 7]]
INFO:root:episode:1550 e_greed:0.18730399999998731 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [0, 2], [0, 7], [3, 3], [0, 4]]
INFO:root:episode:1600 e_greed:0.18690399999998691 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [0, 2], [0, 7], [3, 3], [0, 4]]
INFO:root:episode:1650 e_greed:0.18650399999998651 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [0, 2], [0, 7], [1, 1], [3, 3], [0, 4]]
INFO:root:episode:1700 e_greed:0.1861039999999861 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [0, 2], [1, 1], [0, 7], [3, 3], [0, 4]]
INFO:root:episode:1750 e_greed:0.1857039999999857 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [0, 2], [3, 3], [0, 4], [0, 7]]
INFO:root:episode:1800 e_greed:0.1853039999999853 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [0, 2], [1, 1], [0, 7], [0, 4], [3, 3]]
INFO:root:episode:1850 e_greed:0.1849039999999849 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [0, 2], [0, 7], [1, 1], [0, 4], [3, 3]]
INFO:root:episode:1900 e_greed:0.1845039999999845 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [1, 1], [2, 5], [0, 4], [3, 3]]
INFO:root:episode:1950 e_greed:0.1841039999999841 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [2, 5], [0, 4], [1, 1], [3, 3]]
INFO:root:episode:2000 e_greed:0.1837039999999837 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [0, 7], [2, 5], [0, 4], [3, 3]]
INFO:root:episode:2050 e_greed:0.1833039999999833 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [2, 5], [0, 4], [3, 3], [0, 7]]
INFO:root:episode:2100 e_greed:0.1829039999999829 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [2, 5], [0, 4], [3, 3], [0, 7]]
INFO:root:episode:2150 e_greed:0.1825039999999825 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [2, 5], [1, 1], [0, 7], [0, 4], [3, 3]]
INFO:root:episode:2200 e_greed:0.1821039999999821 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [1, 1], [2, 5], [0, 4], [3, 3]]
INFO:root:episode:2250 e_greed:0.1817039999999817 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 7], [2, 2], [1, 1], [0, 4], [2, 5], [3, 3]]
INFO:root:episode:2300 e_greed:0.1813039999999813 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [2, 5], [0, 4], [0, 7], [3, 3]]
INFO:root:episode:2350 e_greed:0.1809039999999809 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 2], [1, 1], [0, 4], [0, 7], [2, 5], [3, 3]]
INFO:root:episode:2400 e_greed:0.1805039999999805 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [0, 7], [2, 5], [0, 4], [3, 3]]
